Timelmit;Rows;Cols;Winner;;;;
1.0;4;4;2;;Win;32;
1.0;4;4;1;;Draw;4;
1.0;4;4;1;;Lose;14;
1.0;4;4;1;;;;
1.0;4;4;1;;WinRate;0,64;
1.0;4;4;0;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;2;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;0;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;2;;;;
1.0;4;4;1;;;;
1.0;4;4;0;;;;
1.0;4;4;2;;;;
1.0;4;4;2;;;;
1.0;4;4;0;;;;
1.0;4;4;1;;;;
1.0;4;4;1;;;;
